is_concurrent,pop_size,num_species,mean_ms_step_mean
1,640,18,1.197
1,640,19,1.242
1,640,20,1.300
1,640,21,1.395
1,640,22,1.437
1,640,23,1.478
1,640,24,1.593
1,640,25,1.601
1,640,26,1.650
1,640,27,1.736
1,640,28,1.768
1,640,29,1.860
1,640,30,1.911
1,640,31,2.004
1,640,32,2.061
1,768,1,0.198
1,768,2,0.276
1,768,3,0.335
1,768,4,0.398
1,768,5,0.457
1,768,6,0.494
1,768,7,0.550
1,768,8,0.636
1,768,9,0.675
1,768,10,0.734
1,768,11,0.830
1,768,12,0.854
1,768,13,0.989
1,768,14,1.013
1,768,15,1.081
1,768,16,1.127
1,768,17,1.188
1,768,18,1.282
1,768,19,1.320
1,768,20,1.372
1,768,21,1.467
1,768,22,1.494
1,768,23,1.598
1,768,24,1.631
1,768,25,1.685
1,768,26,1.752
1,768,27,1.881
1,768,28,1.904
1,768,29,1.937
1,768,30,2.000
1,768,31,2.072
1,768,32,2.110
1,896,1,0.234
1,896,2,0.304
1,896,3,0.335
1,896,4,0.444
1,896,5,0.474
1,896,6,0.607
1,896,7,0.614
1,896,8,0.679
1,896,9,0.744
1,896,10,0.770
1,896,11,0.864
1,896,12,0.945
1,896,13,0.998
1,896,14,1.069
1,896,15,1.115
1,896,16,1.240
1,896,17,1.255
1,896,18,1.337
1,896,19,1.373
1,896,20,1.460
1,896,21,1.529
1,896,22,1.620
1,896,23,1.619
1,896,24,1.732
1,896,25,1.733
1,896,26,1.844
1,896,27,1.944
1,896,28,1.997
1,896,29,2.014
1,896,30,2.069
1,896,31,2.154
1,896,32,2.232
1,1024,1,0.270
1,1024,2,0.391
1,1024,3,0.465
1,1024,4,0.479
1,1024,5,0.554
1,1024,6,0.678
1,1024,7,0.749
1,1024,8,0.792
1,1024,9,0.895
1,1024,10,0.956
1,1024,11,1.018
1,1024,12,1.101
1,1024,13,1.275
1,1024,14,1.257
1,1024,15,1.412
1,1024,16,1.494
1,1024,17,1.572
1,1024,18,1.632
1,1024,19,1.783
1,1024,20,1.798
1,1024,21,1.848
1,1024,22,1.923
1,1024,23,2.014
1,1024,24,2.146
1,1024,25,2.174
1,1024,26,2.274
1,1024,27,2.298
1,1024,28,2.492
1,1024,29,2.507
1,1024,30,2.605
1,1024,31,2.654
1,1024,32,2.782
