is_concurrent,pop_size,num_species,mean_s_step_mean
1,5120,29,0.011
1,5120,30,0.012
1,5120,31,0.012
1,5120,32,0.012
1,6144,1,0.002
1,6144,2,0.003
1,6144,3,0.003
1,6144,4,0.003
1,6144,5,0.003
1,6144,6,0.004
1,6144,7,0.004
1,6144,8,0.004
1,6144,9,0.005
1,6144,10,0.005
1,6144,11,0.006
1,6144,12,0.006
1,6144,13,0.006
1,6144,14,0.006
1,6144,15,0.006
1,6144,16,0.007
1,6144,17,0.009
1,6144,18,0.009
1,6144,19,0.010
1,6144,20,0.010
1,6144,21,0.011
1,6144,22,0.010
1,6144,23,0.011
1,6144,24,0.011
1,6144,25,0.012
1,6144,26,0.012
1,6144,27,0.012
1,6144,28,0.012
1,6144,29,0.013
1,6144,30,0.013
1,6144,31,0.013
1,6144,32,0.013
1,7168,1,0.003
1,7168,2,0.003
1,7168,3,0.003
1,7168,4,0.003
1,7168,5,0.004
1,7168,6,0.004
1,7168,7,0.005
1,7168,8,0.005
1,7168,9,0.006
1,7168,10,0.006
1,7168,11,0.006
1,7168,12,0.006
1,7168,13,0.007
1,7168,14,0.009
1,7168,15,0.010
1,7168,16,0.010
1,7168,17,0.010
1,7168,18,0.010
1,7168,19,0.011
1,7168,20,0.011
1,7168,21,0.012
1,7168,22,0.012
1,7168,23,0.012
1,7168,24,0.012
1,7168,25,0.013
1,7168,26,0.013
1,7168,27,0.015
1,7168,28,0.016
1,7168,29,0.016
1,7168,30,0.017
1,7168,31,0.017
1,7168,32,0.017
1,8192,1,0.003
1,8192,2,0.003
1,8192,3,0.004
1,8192,4,0.004
1,8192,5,0.004
1,8192,6,0.004
1,8192,7,0.006
1,8192,8,0.006
1,8192,9,0.006
1,8192,10,0.006
1,8192,11,0.007
1,8192,12,0.007
1,8192,13,0.010
1,8192,14,0.011
1,8192,15,0.011
1,8192,16,0.011
1,8192,17,0.012
1,8192,18,0.012
1,8192,19,0.012
1,8192,20,0.013
1,8192,21,0.013
1,8192,22,0.013
1,8192,23,0.013
1,8192,24,0.014
1,8192,25,0.017
1,8192,26,0.018
1,8192,27,0.018
1,8192,28,0.018
1,8192,29,0.018
1,8192,30,0.019
1,8192,31,0.019
1,8192,32,0.019
